"filename", "language", "TypeScript React", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\Иван Забурдаев\Desktop\stake play earn\stake-play-earn\components\Account.tsx", "TypeScript React", 66, 0, 0, 0, 7, 73
"c:\Users\Иван Забурдаев\Desktop\stake play earn\stake-play-earn\components\AccountContent.tsx", "TypeScript React", 78, 0, 0, 0, 5, 83
"c:\Users\Иван Забурдаев\Desktop\stake play earn\stake-play-earn\components\Calculator.tsx", "TypeScript React", 109, 0, 0, 3, 21, 133
"c:\Users\Иван Забурдаев\Desktop\stake play earn\stake-play-earn\components\ConnectMM.tsx", "TypeScript React", 30, 0, 0, 1, 2, 33
"c:\Users\Иван Забурдаев\Desktop\stake play earn\stake-play-earn\components\Dashboard.tsx", "TypeScript React", 62, 0, 0, 0, 3, 65
"c:\Users\Иван Забурдаев\Desktop\stake play earn\stake-play-earn\components\NeonActiveShape.tsx", "TypeScript React", 33, 0, 0, 0, 2, 35
"c:\Users\Иван Забурдаев\Desktop\stake play earn\stake-play-earn\components\NeonButton.tsx", "TypeScript React", 33, 0, 0, 0, 2, 35
"c:\Users\Иван Забурдаев\Desktop\stake play earn\stake-play-earn\components\PlanetBuyButton.tsx", "TypeScript React", 39, 0, 0, 0, 2, 41
"c:\Users\Иван Забурдаев\Desktop\stake play earn\stake-play-earn\components\PlanetBuyButtonOld.tsx", "TypeScript React", 48, 0, 0, 0, 2, 50
"c:\Users\Иван Забурдаев\Desktop\stake play earn\stake-play-earn\components\PlanetCard.tsx", "TypeScript React", 91, 0, 0, 0, 8, 99
"c:\Users\Иван Забурдаев\Desktop\stake play earn\stake-play-earn\components\PlanetCardMarketplace.tsx", "TypeScript React", 43, 0, 0, 0, 6, 49
"c:\Users\Иван Забурдаев\Desktop\stake play earn\stake-play-earn\components\PlanetCardOld.tsx", "TypeScript React", 35, 0, 0, 0, 5, 40
"c:\Users\Иван Забурдаев\Desktop\stake play earn\stake-play-earn\components\Stacker.tsx", "TypeScript React", 222, 0, 0, 0, 8, 230
"c:\Users\Иван Забурдаев\Desktop\stake play earn\stake-play-earn\components\Swiper.tsx", "TypeScript React", 118, 0, 0, 0, 6, 124
"c:\Users\Иван Забурдаев\Desktop\stake play earn\stake-play-earn\components\mm.js", "JavaScript", 0, 1, 0, 0, 0, 1
"c:\Users\Иван Забурдаев\Desktop\stake play earn\stake-play-earn\styles\Home.module.css", "CSS", 0, 0, -100, 0, -20, -120
"c:\Users\Иван Забурдаев\Desktop\stake play earn\stake-play-earn\styles\globals.css", "CSS", 0, 0, -246, -5, -4, -255
"Total", "-", 1007, 1, -346, -1, 55, 716
