"filename", "language", "TypeScript", "TypeScript React", "JavaScript", "comment", "blank", "total"
"c:\Users\Иван Забурдаев\Desktop\stake play earn\stake-play-earn\components\Account.tsx", "TypeScript React", 0, -66, 0, 0, -7, -73
"c:\Users\Иван Забурдаев\Desktop\stake play earn\stake-play-earn\components\AccountContent.tsx", "TypeScript React", 0, -78, 0, 0, -5, -83
"c:\Users\Иван Забурдаев\Desktop\stake play earn\stake-play-earn\components\Calculator.tsx", "TypeScript React", 0, -109, 0, -3, -21, -133
"c:\Users\Иван Забурдаев\Desktop\stake play earn\stake-play-earn\components\ConnectMM.tsx", "TypeScript React", 0, -30, 0, -1, -2, -33
"c:\Users\Иван Забурдаев\Desktop\stake play earn\stake-play-earn\components\Dashboard.tsx", "TypeScript React", 0, -62, 0, 0, -3, -65
"c:\Users\Иван Забурдаев\Desktop\stake play earn\stake-play-earn\components\NeonActiveShape.tsx", "TypeScript React", 0, -33, 0, 0, -2, -35
"c:\Users\Иван Забурдаев\Desktop\stake play earn\stake-play-earn\components\NeonButton.tsx", "TypeScript React", 0, -33, 0, 0, -2, -35
"c:\Users\Иван Забурдаев\Desktop\stake play earn\stake-play-earn\components\PlanetBuyButton.tsx", "TypeScript React", 0, -39, 0, 0, -2, -41
"c:\Users\Иван Забурдаев\Desktop\stake play earn\stake-play-earn\components\PlanetBuyButtonOld.tsx", "TypeScript React", 0, -48, 0, 0, -2, -50
"c:\Users\Иван Забурдаев\Desktop\stake play earn\stake-play-earn\components\PlanetCard.tsx", "TypeScript React", 0, -91, 0, 0, -8, -99
"c:\Users\Иван Забурдаев\Desktop\stake play earn\stake-play-earn\components\PlanetCardMarketplace.tsx", "TypeScript React", 0, -43, 0, 0, -6, -49
"c:\Users\Иван Забурдаев\Desktop\stake play earn\stake-play-earn\components\PlanetCardOld.tsx", "TypeScript React", 0, -35, 0, 0, -5, -40
"c:\Users\Иван Забурдаев\Desktop\stake play earn\stake-play-earn\components\Stacker.tsx", "TypeScript React", 0, -222, 0, 0, -8, -230
"c:\Users\Иван Забурдаев\Desktop\stake play earn\stake-play-earn\components\Swiper.tsx", "TypeScript React", 0, -118, 0, 0, -6, -124
"c:\Users\Иван Забурдаев\Desktop\stake play earn\stake-play-earn\components\mm.js", "JavaScript", 0, 0, -1, 0, 0, -1
"c:\Users\Иван Забурдаев\Desktop\stake play earn\stake-play-earn\pages\_app.tsx", "TypeScript React", 0, 6, 0, 0, 3, 9
"c:\Users\Иван Забурдаев\Desktop\stake play earn\stake-play-earn\pages\account.tsx", "TypeScript React", 0, 277, 0, 1, 28, 306
"c:\Users\Иван Забурдаев\Desktop\stake play earn\stake-play-earn\pages\api\hello.ts", "TypeScript", 10, 0, 0, 1, 3, 14
"c:\Users\Иван Забурдаев\Desktop\stake play earn\stake-play-earn\pages\index.tsx", "TypeScript React", 0, 1072, 0, 1, 110, 1183
"Total", "-", 10, 348, -1, -1, 65, 421
